date,open,close,high,low,volume
2024-01-02,4.88,4.79,4.9,4.73,105526.02
2024-01-03,4.79,4.81,4.86,4.77,43600.0
2024-01-04,4.81,4.78,4.81,4.76,40981.28
2024-01-05,4.78,4.76,4.86,4.75,47425.0
2024-01-08,4.79,4.68,4.8,4.67,45708.0
2024-01-09,4.69,4.71,4.77,4.68,41333.0
2024-01-10,4.71,4.73,4.76,4.64,41168.28
2024-01-11,4.72,4.79,4.83,4.68,48614.0
2024-01-12,4.79,4.82,4.89,4.76,44113.0
2024-01-15,4.8,4.81,4.84,4.73,40164.0
2024-01-16,4.84,4.77,4.88,4.71,50881.0
2024-01-17,4.78,4.67,4.79,4.66,36835.0
2024-01-18,4.68,4.57,4.68,4.45,61310.0
2024-01-19,4.57,4.54,4.62,4.53,37171.0
2024-01-22,4.51,4.27,4.53,4.24,70640.0
2024-01-23,4.28,4.34,4.35,4.19,61521.4
2024-01-24,4.33,4.51,4.51,4.3,61654.96
2024-01-25,4.53,4.68,4.7,4.51,76203.0
2024-01-26,4.68,4.82,4.88,4.68,83174.24
2024-01-29,4.85,4.69,4.89,4.69,73704.45
2024-01-30,4.65,4.49,4.71,4.48,59643.0
2024-01-31,4.5,4.23,4.5,4.2,65591.0
2024-02-01,4.19,4.03,4.23,4.02,82865.0
2024-02-02,4.03,3.91,4.22,3.82,87473.0
2024-02-05,3.85,3.52,3.89,3.52,124500.0
2024-02-06,3.27,3.39,3.51,3.19,152172.61
2024-02-07,3.41,3.12,3.41,3.06,233723.01
2024-02-08,3.14,3.32,3.35,2.94,191312.01
2024-02-19,3.36,3.54,3.57,3.35,129538.1
2024-02-20,3.53,3.63,3.66,3.44,88820.01
2024-02-21,3.57,3.7,3.81,3.56,82088.69
2024-02-22,3.7,3.77,3.77,3.61,66774.0
2024-02-23,3.77,3.82,3.84,3.74,51879.6
2024-02-26,3.82,3.87,3.96,3.77,105093.0
2024-02-27,3.86,3.97,3.97,3.83,72564.0
2024-02-28,4.0,3.71,4.11,3.66,139487.01
2024-02-29,3.69,3.83,3.83,3.68,105612.81
2024-03-01,3.82,3.81,3.84,3.74,94051.0
2024-03-04,3.82,3.74,3.82,3.67,90347.78
2024-03-05,3.73,3.66,3.74,3.64,60340.0
2024-03-06,3.66,3.7,3.75,3.65,55613.09
2024-03-07,3.69,3.72,3.76,3.66,55809.89
2024-03-08,3.74,3.74,3.75,3.65,44413.9
2024-03-11,3.75,3.8,3.8,3.7,46073.1
2024-03-12,3.81,3.93,3.96,3.77,74536.01
2024-03-13,3.94,3.85,3.95,3.79,61038.0
2024-03-14,3.86,3.86,3.91,3.82,53373.0
2024-03-15,3.86,3.93,3.95,3.84,50538.1
2024-03-18,3.94,4.0,4.0,3.89,57895.08
2024-03-19,3.98,3.97,4.03,3.96,49478.52
2024-03-20,3.97,4.02,4.02,3.95,38194.9
2024-03-21,4.02,4.09,4.12,4.01,66179.0
2024-03-22,4.09,4.0,4.09,3.94,73800.02
2024-03-25,3.99,3.98,4.08,3.94,63282.62
2024-03-26,3.99,4.06,4.11,3.95,83745.0
