date,open,close,high,low,volume
2019-01-02,1250.623,1228.7668,1251.2252,1226.8728,37899531.0
2019-01-03,1226.7446,1214.4969,1240.2865,1213.8729,46874281.0
2019-01-04,1203.6732,1245.1567,1246.3936,1201.8045,57771140.0
2019-01-07,1250.4031,1268.0583,1270.3576,1244.8204,63864037.0
2019-01-08,1262.1971,1263.5102,1270.4295,1258.5656,59502582.0
2019-01-09,1263.7327,1262.5167,1285.3112,1258.6233,67379457.0
2019-01-10,1262.1049,1258.9886,1270.6624,1255.7445,60079139.0
2019-01-11,1260.0033,1261.5603,1266.6731,1252.2981,57687061.0
2019-01-14,1263.0237,1245.9994,1264.0437,1243.5273,56699158.0
2019-01-15,1243.9347,1266.2745,1267.6466,1238.591,58126895.0
2019-01-16,1267.1365,1267.3048,1277.2738,1262.2705,55111235.0
2019-01-17,1267.821,1251.4137,1267.821,1251.1532,51818064.0
2019-01-18,1255.5954,1269.5046,1270.0026,1248.8542,50640530.0
2019-01-21,1271.3925,1274.7889,1283.1425,1266.8023,51088753.0
2019-01-22,1273.4718,1252.2391,1273.4718,1247.448,47440492.0
2019-01-23,1250.8328,1251.1266,1255.4142,1244.939,41704004.0
2019-01-24,1252.3848,1265.1607,1272.4881,1248.0608,50755540.0
2019-01-25,1266.63,1265.4942,1276.9853,1261.406,51347193.0
2019-01-28,1272.3672,1259.7432,1279.8224,1257.5327,51305174.0
2019-01-29,1259.8027,1243.5918,1259.8027,1229.4838,51543345.0
2019-01-30,1238.2813,1230.8193,1248.9587,1230.8193,41711934.0
2019-01-31,1230.9989,1227.9878,1243.5862,1220.9499,52366207.0
2019-02-01,1233.3844,1271.2746,1272.1932,1233.3844,46354210.0
2019-02-11,1275.2196,1316.0984,1319.1772,1274.7323,52224416.0
2019-02-12,1316.9066,1332.2704,1336.1385,1314.9146,58697467.0
2019-02-13,1335.164,1357.6657,1362.6384,1333.1051,72372681.0
2019-02-14,1357.7758,1361.9384,1369.784,1349.4731,67547726.0
2019-02-15,1360.7568,1357.8362,1371.9648,1355.778,68019638.0
2019-02-18,1364.939,1413.6002,1413.7741,1364.939,91472143.0
2019-02-19,1419.0357,1406.0375,1427.1353,1391.566,102824505.0
2019-02-20,1406.9915,1408.3818,1417.8889,1387.9029,85928762.0
2019-02-21,1405.5176,1412.535,1452.3851,1401.771,106419625.0
2019-02-22,1409.8613,1456.2989,1456.3047,1407.2879,98390321.0
2019-02-25,1487.304,1536.3711,1538.1577,1481.1716,146336606.0
2019-02-26,1549.2395,1546.9869,1581.8338,1532.4397,154548729.0
2019-02-27,1544.1631,1520.4193,1555.5864,1503.677,122573201.0
2019-02-28,1522.6307,1535.6804,1549.3266,1519.756,98043519.0
2019-03-01,1558.898,1567.8731,1568.3192,1532.4543,93850278.0
2019-03-04,1596.554,1619.7099,1651.0136,1593.2565,139956931.0
2019-03-05,1615.5924,1676.5659,1676.5659,1613.4975,141562275.0
2019-03-06,1684.9715,1700.4964,1704.1003,1661.0112,162408735.0
2019-03-07,1699.5996,1692.4163,1719.1451,1666.3726,164515686.0
2019-03-08,1647.8484,1654.4853,1718.3841,1635.4498,170862330.0
2019-03-11,1673.4047,1727.8014,1728.3307,1656.1397,148764384.0
2019-03-12,1733.4272,1773.4325,1789.1553,1733.4272,175565483.0
2019-03-13,1769.547,1693.8604,1769.547,1682.3594,152889685.0
2019-03-14,1676.614,1650.1862,1700.5157,1628.635,118466693.0
2019-03-15,1667.7779,1662.6229,1685.0787,1642.6985,98734441.0
2019-03-18,1671.2796,1707.056,1707.056,1652.8818,95332936.0
